MLS No,Latitude,Longitude
ME224017275,37.2888139,-120.4901558
ML81956013,37.2975954,-120.5022685
CRMC23116058,37.3112316,-120.4878772
CRMC24038561,37.2888139,-120.4901558
CRMC24014767,37.3127913,-120.4901171
ML81955008,37.7775,-122.1792966
41062324,37.7627756,-122.1674078
ME223112680,38.5596617,-121.3607694
41023047,37.8115214,-122.2367168
BA324005458,37.7627756,-122.1674078
41024124,37.806048,-122.2113511
SF423921370,37.6996995,-122.4878726
ML81968522,37.7020616,-122.4936976
ML81961395,37.7044,-122.4503715
41052855,37.5815977,-122.0727754
ML81955386,37.7054964,-122.4752282
41035698,37.5791986,-122.072589
41049933,37.5798683,-122.0730252
41019352,37.5781851,-122.0733166
41035843,37.5934155,-122.0301594
CRDW24092898,37.581216,-122.0735436
41056168,37.5755892,-122.0743576
41020945,37.5926178,-122.0329905
41048897,37.5783986,-122.0750935
SF423905855,37.701967,-122.4945765
ML81930468,37.3283,-121.9280024
ML81954469,37.3784368,-121.8635369
ML81966100,37.37616860000001,-121.8739153
41022380,37.9205767,-122.0933924
41034516,37.920499,-122.095883
ML81946830,37.3774737,-121.8708041
41021386,37.921019,-122.094392
41007342,37.919878,-122.094738
41047332,37.9202511,-122.0945626
41063613,37.9218,-122.093807
ML81954213,37.3322424,-121.8047055
ML81957943,37.2594133,-121.8469977
41032613,37.2612192,-121.8501344
ML81965064,37.3019123,-121.9618381
ML81961697,37.2641346,-121.8519297
ML81947510,37.3380838,-121.8742058
41030981,37.9206529,-122.0934806
ML81946656,37.2587858,-121.8497818
41038752,37.9201333,-122.0912785
ML81942987,37.2644009,-121.8516538
ME223000477,37.9211712,-122.096049
CREV24057977,36.778261,-119.4179324
CREV23177760,36.778261,-119.4179324
ML81918278,37.2801288,-121.9843542
ML81935188,37.2797561,-121.9872474
ML81914492,37.2814342,-121.9852819
41022764,37.2791292,-121.9853004
41048980,37.3372413,-121.8597322
ML81963778,37.2538686,-121.8551269
ML81923442,37.2535331,-121.8562636
ML81934063,37.25184,-121.8545049
ML81953662,37.2812416,-121.9909029
ML81915324,37.3356123,-121.860675
ME223100794,38.5188424,-121.5028233
ME223084259,38.5182035,-121.5006781
SF423724043,37.7300897,-122.4473519
CRRW23187314,36.778261,-119.4179324
ML81915522,37.2671459,-121.8847889
ML81975165,37.2872701,-121.99247
ML81930142,37.3457043,-121.8229468
ML81955910,37.3620249,-121.814045
ML81964029,37.2712331,-121.887173
CREV23143696,36.778261,-119.4179324
CREV24138001,36.778261,-119.4179324
CREV23213748,36.778261,-119.4179324
CREV23031373,36.778261,-119.4179324
CRRW23113936,36.778261,-119.4179324
CREV24079400,36.778261,-119.4179324
CREV24026067,36.778261,-119.4179324
CREV23113266,36.778261,-119.4179324
ML81918038,37.2853426,-121.8564057
41038727,37.295898,-121.755755
ML81923419,37.285525,-121.856336
ML81927119,37.2853714,-121.8557539
ML81922632,37.2853618,-121.8564741
CL22163951,36.778261,-119.4179324
ME223006928,38.4892301,-121.4426489
SF423914621,37.7648872,-122.4726634
41023359,37.8377993,-122.2802409
41033883,37.7326617,-122.1842723
ML81918075,37.7639329,-122.168685
41018799,37.7560454,-122.159903
41038929,37.7562884,-122.1766227
41039115,37.7639329,-122.168685
ME223101409,38.6286496,-121.4247924
ML81938637,37.2764079,-121.9025734
ML81974259,37.2988554,-122.0252848
ML81953508,37.2778983,-121.9018003
ML81960297,37.2762935,-121.9018455
ML81952383,37.3319378,-121.8221983
CROC24008803,36.778261,-119.4179324
BA324006359,37.8868667,-122.5154352
