MLS No,Latitude,Longitude
CRIV22248614,34.1956321,-115.9209642
CRJT22258222,34.1780927,-115.7956461
CRJT23101637,34.2077874,-116.1504851
CRJT24066616,34.1819438,-115.7286939
CRCV24076686,34.1355582,-116.0541689
CRJT23189637,34.1780927,-115.7956461
CRJT22255841,34.1429466,-115.9821246
CRTR24028451,33.9859532,-117.3211313
CRJT24022153,34.2345057,-116.1211598
CRJT24066760,34.1355582,-116.0541689
CRSW24039353,33.7619591,-116.9051835
CRIV24126278,33.9517043,-117.3876989
CRJT23196551,34.1872567,-115.8477954
CRIV24004777,33.7583784,-116.9051665
CRIG22254665,33.7577807,-116.9044299
CRSW23169391,33.7602761,-116.9056207
CRIV24086722,33.9388679,-117.4690478
CRCV22245053,34.1879947,-116.1399013
SF423723189,37.7654562,-122.4503986
CRJT24040962,34.1935757,-116.1422615
CRSW23178308,34.21369490000001,-116.153281
CRJT21254436,34.20622160000001,-115.8849611
CRNDP2401616,33.9911242,-117.3763609
CRSW24127068,33.7592055,-116.9800507
CL24368785,34.1812288,-115.738221
CRSW24118899,33.7583784,-116.9051665
CROC23215049,34.1808819,-115.970618
CRIV23190061,34.1814795,-115.9294069
CRJT23146026,34.2202576,-116.1710802
CL23309289,34.1792077,-116.0448866
SF423917135,37.7741275,-122.4211434
CRJT24042325,34.2347103,-116.1332591
CRJT23016775,34.1855804,-115.8033779
SF423727309,37.7654562,-122.4503986
CRJT23007865,34.1933703,-115.9676435
CRIV23112259,33.7458887,-116.9006878
SF424046150,37.8050383,-122.4405061
CRSW23185996,33.7571925,-116.9745857
CRJT23045269,34.2363563,-116.0990236
CRIG23062439,33.9595081,-117.3999303
SF423728554,37.7514276,-122.4405365
CRCV23054462,33.7527634,-116.8838228
SF423735340,37.7790729,-122.410312
ME224017275,37.2888139,-120.4901558
ML81956013,37.2975954,-120.5022685
CRPW24057795,33.7628733,-118.0836189
CRMC23116058,37.3112316,-120.4878772
CRMC24038561,37.2888139,-120.4901558
CRPW22237411,33.7712932,-118.0854924
CRPW24053306,33.7735506,-118.0912404
CRMC24014767,37.3127913,-120.4901171
CROC23166923,33.7684349,-118.0786972
CRPW23110754,33.7736054,-118.0828828
CRPW23027316,33.77250300000001,-118.089818
CRPW23000422,33.7720473,-118.0821883
CRPW24004866,33.7719286,-118.087654
CRSW23201270,33.7729579,-118.0796466
CROC24070556,33.7728307,-118.0808664
CRPW23007345,33.7663217,-118.0902966
CROC22208001,33.7636727,-118.085036
